lyrics,label
"যা উড়ে যা By Agoon
যা উড়ে যা মনের পাখিটা , জীবন আকাশে দুঃখ ভুলে যা
যা উড়ে যা সময়ের ঘুড়িটা , রঙিন বাতাসে স্বপ্ন এঁকে যা ।
শত দুঃখের ছেঁড়া পালে শেকড়হীন প্রানে
গগনের চার দেয়ালে জীবনের কি মানে ?

কত যে প্রিয়মুখ মানুষের ভিড়ে , বারেবারে ফীরে যাই সেই চেনা ঘরে
যা কিছু ছুঁয়ে যাই সুখটুকু দিয়ে , মনেরই অভিমান যাবে কি ধুয়ে ?
যা উড়ে যা সময়ের ঘুড়িটা , রঙিন বাতাসে স্বপ্ন এঁকে যা ।

হৃদয়ের শ্রাবণে ফাগুন বিমুখ , মনেরই কোণে অচেনা অসুখ
কেন যে হেরে যাই জীবনের কাছে , আলো আর আঁধারের সবই কি মিছে ?
যা উড়ে যা মনের পাখিটা , জীবন আকাশে দুঃখ ভুলে যা
শত দুঃখের ছেঁড়া পালে শেকড়হীন প্রানে
গগনের চার দেয়ালে জীবনের কি মানে ?",1
"ছেঁড়া স্বপ্ন By Aurthohin
পারবে আমায় এনে দিতে একটুকরো চাঁদের মাটি
কিংবা হিমালয়ের চুড়ার একটুখানি বরফ

নীল আকাশের ভেসে যাওয়া একটুকরো সাদা মেঘ
কিংবা আধাঁর রাতে তারার লেখা একটি হরফ

পারবে দিতে নিকষ কালো অন্ধকারে সূর্যালোক
কিংবা দিতে নতুন একটি আমার সোনার বাংলাদেশ

মরূভুমির মাঝে কোন বিশাল এক নীল সাগর
কিংবা বলবে কোথায় ঐ দূর আকাশের শেষ

চাওয়া গুলো আমার আজ অদ্ভুত এলোমেলো
বাস্তবতার নেই যে ছোয়া, অকেজো এক ঝাপসা বোধ

তবুও আমার শেওলা ধরা প্রায় ছেড়া এই মনটা তে
করছে কেউ আবল তাবোল, অন্য রকম অনুরোধ

পারবে দিতে সেগোভিয়ার মিষ্টি ঐ হাত দুটো
কিংবা সত্যজিতের লেখা নতুন কোন এক গল্প

পারবে দিতে পিকাসোর হাতে লেখা সিম্ফনী
কিংবা মোজার্টের আঁকা কোন ছবির রংতুলি

পারবে দেখাতে আমায় ব্যার্থতার ব্যর্থ মুখ
নিঃস্ব কোন মানুষের শেষযাত্রায় হাসিমুখ

চাওয়া গুলো আমার আজ অদ্ভুত এলোমেলো
বাস্তবতার নেই যে ছোয়া অকেজো এক ঝাপসা বোধ

তবুও আমার শেওলা ধরা প্রায় ছেড়া এই মনটা তে
করছে কেউ আবল তাবোল অন্য রকম অনুরোধ

চাওয়া গুলো আমার আজ অদ্ভুত এলোমেলো
বাস্তবতার নেই যে ছোয়া অকেজো এক ঝাপসা বোধ

তবুও আমার শেওলা ধরা প্রায় ছেড়া এই মনটা তে
করছে কেউ আবল তাবোল অন্য রকম অনুরোধ

চাইব শুধু দুটো জিনিশ যদি তুমি পার দিতে
চুপিসারে রেখে যেও যখন আমি ঘুমিয়ে

পারবে আমায় ফিরিয়ে দিতে রুপক নামের গানটারে
আর আমার গানের গলা, যা গেছে কাল হারিয়ে।",0
"ফিরিয়ে দেওয়ার গান By Anupam Roy
ভেবেছিলাম তোকে ফিরিয়ে দেবো আমি
ভেবেছিলাম ঘুরে তাকাবো না |
ভেবেছিলাম তোকে পুড়িয়ে ফেলবো (দেবো) আমি
ভেবেছিলাম উড়িয়ে দেবো ছাই |

কিচ্ছু পারলাম না, শুধু বাড়ল ওজন বুক
সুখী গাল বোঝে না, কবিদের অসুখ
পাতলা ঠোঁটের ডগায়, সাজানো গল্পের খই
তোকে ফিরিয়ে দেওয়া উচিত অবশ্যই... এভাবে

গাছপালার স্নেহ দিয়ে ঢাকা, থাক সে পথ ফাঁকা,
থাক তোর ডাকে সাড়া দেবো না, দেবো না, না, না |
শত বসন্তের আদরে যেই, রেখেছি বালিশে ঘুম
থাক পাতার ভাঁজে রাখা, আমার এই ভালো লাগা |

আমাকে ঘুড়ি ভেবে ওড়াস না,
নরম আঙুল কেটে যাবে
উপড়ে নেবো নিজেকে |

ভেবেছিলাম তোকে নিভিয়ে ফেলবো (দেবো)আমি
ভেবেছিলাম তারা ফোটাবো না,
ভাল হত পেলে সময় অফুরন্ত,
ফুরিয়ে যায়, ফিরিয়ে দেওয়া গান |

কেন ভাঙছে আকাশ, আমি ভাঙছি না,
হয়ত তোর ভেতরেও একই অবস্থা |

পাতলা ঠোঁটের ডগায়, সাজানো গল্পের খই
তোকে ফিরিয়ে দেওয়া উচিত অবশ্যই... এভাবে

গাছপালার স্নেহ দিয়ে ঢাকা, থাক সে পথ ফাঁকা,
থাক তোর ডাকে সাড়া দেবো না, দেবো না, না, না |
শত বসন্তের আদরে  যেই, রেখেছি বালিশে ঘুম
থাক পাতার ভাঁজে রাখা, আমার এই ভালো লাগা |

আমাকে ঘুড়ি ভেবে ওড়াস না,
নরম আঙুল কেটে যাবে
উপড়ে নেবো নিজেকে |

বুঝবি না, তোর ক্ষতয় হাত বোলালে
জানবি না, কেন যে চোখ ঢাকি
বুঝবি না, কেন ওপাশ ফিরে শুলে
জানতে চাস না, কেন এভাবে থাকি

কেন প্রশ্ন এড়াস, আমি ঠকব না,
বিশাল ফারাক আছে, তা কি বুঝিস না?

পাতলা ঠোঁটের ডগায়, সাজানো গল্পের খই
তোকে ফিরিয়ে দেওয়া উচিত অবশ্যই... এভাবে

গাছপালার স্নেহ দিয়ে ঢাকা, থাক সে পথ ফাঁকা,
থাক তোর ডাকে সাড়া দেবো না, দেবো না, না, না |
শত বসন্তের আদরে  যেই, রেখেছি বালিশে ঘুম
থাক পাতার ভাঁজে রাখা, আমার এই ভালো লাগা |

আমাকে ঘুড়ি ভেবে ওড়াস না,
নরম আঙুল কেটে যাবে
উপড়ে নেবো নিজেকে |",1
"সুখেরই পৃথিবী সুখেরই অভিনয় By LRB
সুখেরই পৃথিবী, সুখেরই অভিনয়
যত আড়াল রাখো, আসলে কেউ সুখী নয়
নিজ ভুবনে চির দুখী, আসলে কেউ সুখী নয়

তোমার দরজার ওপাশে একজন
ভাবছ সে সুখী মিথ্যে আয়োজন
নিজ ভুবনে চির দুখী, আসলে কেউ সুখী নয়

আশা দুরাশায় দুলছে কেনো মন
সুখের চাদরে জড়ানো প্রিয়জন
নিজ ভুবনে চির দুখী, আসলে কেউ সুখী নয়",1
"কেন পিরিতি বাড়াইলারে বন্ধু by শাহ আব্দুল করিম
কেন পিরিতি বাড়াইলারে বন্ধু
ছেড়ে যাইবা যদি
কেমনে রাখবি তোর মন
কেমনে রাখবি তোর মন
আমার আপন ঘরে বাধিরে বন্ধু
 ছেড়ে যাইবা যদি

পাড়া পড়শী বাদী আমার
বাদী কাল ননদী
মরম জ্বালা সইতে নারি
দিবা নিশি কাঁদিরে বন্ধু
ছেড়ে যাইবা যদি

কারে কী বলিব আমি
নিজেই অপরাধী
কেঁদে কেঁদে চোখের জলে
কেঁদে কেঁদে চোখের জলে
বহাইলাম নদী রে বন্ধু
ছেড়ে যাইবা যদি

পাগল আব্দুল করিম বলে
হলো এ কী ব্যাধি
তুমি বিনে এ ভুবনে
তুমি বিনে এ ভুবনে
কে আছে আছে ঔষধি রে বন্ধু
ছেড়ে যাইবা যদি",1
"খুঁজে খুঁজে By Porshi & Arfin Rumey
তোমাকে খুঁজে পাই ঐ নীল আকাশে
পাই যে খুঁজে ঐ মিষ্টি বাতাসে।।
তোমায় ভালোবাসি আমি ভালোবাসি
পেতে চাই আরো কাছে, আরো কাছে
খুঁজে খুঁজে দু'চোখ বুঝে পাই তোমায় আরো কাছে,
একই ডোরে বাধা দু'জন থাকবো সারা জনম ধরে।

কপালের ঐ টিপ চোখেরই কাজলে,
তোমাকে জড়িয়ে রাখবো প্রেমেরই আঁচলে।
রংধনুর রঙে নয়, নয় ঝর্না ধারাতে
তোমার উপমা খুঁজি দু'চোখের তারাতে।
খুঁজে খুঁজে দু'চোখ বুঝে পাই তোমায় আরো কাছে,
একই ডোরে বাধা দু'জন থাকবো সারা জনম ধরে।

তুমি ফুল হয়ে সুরোভী ছড়ালে,
প্রেমেরই চাদরে হৃদয় জড়ালে।
দাওনা তুমি দু'হাত বাড়িয়ে,
ভালোবেসে যেতে চাই তোমাতে হারিয়ে।
খুঁজে খুঁজে দু'চোখ বুঝে পাই তোমায় আরো কাছে,
একই ডোরে বাধা দু'জন থাকবো সারা জনম ধরে।",0
"চুপি চুপি by Kazi shuvo & Porshi
চুপি চুপি কেন আসনি,
স্বপনে ধরা দিয়ে যাও।
বেসেছো ভালো গোপনে গোপনে,
বলোনা আমি যে তোমার।

কি করে বলি বলো ভালোবাসি,
বড় ভালোবাসি তবু লাজে মরি।
আমারই জীবন শুধুই তোমার,
তুমি হীনা সবই যে আধার।

ছিলেনা যখন তুমি এই জীবনে,
দেখেনি স্বপণ কভু দু-নয়নে।।

হৃদয় চিরে দেখো তোমারি ছবি,
বড় ভালোবাসি তুবও লাজে মরি।
আমারই জীবন শুধুই তোমার,
তুমি হীনা সবই যে আধার।

এতো কাছে রয়েছো তবু আরো কাছে চাই,
এ চাওয়া পাওয়ার যেন কোন শেষ নাই।।

হৃদয় চিরে দেখো তোমারি ছবি,
বড় ভালোবাসি তুবও লাজে মরি।
আমারই জীবন শুধুই তোমার,
তুমি হীনা সবই যে আধার।",0
"শুয়া উড়িলরে by এস আই টুটুল/ ফজলুর রহমান বাবু 
শুয়া উড়িল উড়িল জীবেরও জীবন
শুয়া উড়িল উড়িল রে।।

আরলাম আকানে ছিলা আনন্দিত মন
ভবে আসি পিঞ্জরাতে হইলা বন্ধন।

নিদয়া নিষ্ঠুর পাখি দয়া নাই রে তোর
পাষাণ সমান হিয়া কঠিন অন্তর।

পিঞ্জরায় থাকিয়া করলা প্রেমেরও সাধন
পিঞ্জরা ছাড়িয়া যাইতে না লাগে বেদন।

শীতলং ফকিরে কইন দম কর সাধন
দমের ভিতর আছে পাখি করিও যতন।",0
"ধীরে ধীরে by Habib & Nancy
ধীরে ধীরে সে দুয়ারে আমার
ধীরে ধীরে সে হাওয়ায়
ধীরে ধীরে মন পাহারা তবু কেন
মন চুরি হয়

যে ছিল আড়ালে
খুব কাছে দাঁড়ালে
তার ছায়া শরীরে
খুব কাছে জড়ালে
ধীরে ধীরে আপন হলো
সে যে আমার

থাকো না তুমি
যেওনা দূরে
এক নদী এক স্রোতে
বহিয়া এক সুরে
ধীরে ধীরে কাছে আরও
কাছে সে আবার",0
"আমি কে By Topu & Anila 
আর এখানে কোন প্রশ্ন নেই মনে
জেনেছি কি যে চাই
আমি কে?

এই খেলাতে কে জয়ী কে হারে,
কি লাভ কি ক্ষতি তার
যে চলে গেছে।

কে কি যে চাই, কে জয়ী কি আশাই
কি সুখে, কি ক্ষতি কে জানে।।

কে আমি কে?
কি খুঁজি ভালবাসি কাকে?
কি সুখে কি যে চাই
আমি কে, আমি কে।।

কে কি যে চাই, কে জয়ী কি আশাই
কি সুখে, কি ক্ষতি কে জানে।।",1
"এ কি মায়া By Tausif Feat Liza
এ কি মায়ার জড়াইলা
থাকিতে পারিনা ঘরেতে
এ কি প্রেমে ডুবাইলা
রইতে পারিনা একা যে।
গাছের পাতা নড়ে চড়ে
বন্ধু তোরই কথা মনে পড়ে।।

আমার মনের মায়া
লেগেছে তোরই লাগি
তোকেই কাছে পেতে চায়
অবুঝ এ হৃদয়খানি।
তুই কেন আসিস না
ভাল কেন বাসিস না।
গাছের পাতা নড়ে চড়ে
বন্ধু তোরই কথা মনে পড়ে।

হৃদয় উঠোন জুড়ে
এঁকেছি তোরই ছবি
নিরলে তোকেই ভেবে
সাজে আমার পৃথিবী।
তুই কেন আসিস না
ভাল কেন বাসিস না।",0
"অসমাপ্ত By Aurthohin
আমার শিরায় শিরায় গাঢ় অন্ধকার
শিকড় গড়ে আদরে,
আমার অবশ শরীর
ক্লান্তি হারায় অধিকার নিয়ে।

সব আলো নিভিয়ে দাও
ঘুমাব আমি আলোর শেষে,
জয় হোক ক্লান্তির
জয় হোক অবসাদের।

পৃথিবীর সব ঘুম
আমার চোখের পাতায়,
জড় হয় কিসের আশায়
জানা নেই আমার।

আমার শিরায় শিরায় গাঢ় অন্ধকার
শিকড় গড়ে আদরে,
আমার অবশ শরীর
ক্লান্তি হারায় অধিকার নিয়ে।

সব আলো নিভিয়ে দাও
ঘুমাব আমি আলোর শেষে,
জয় হোক ক্লান্তির
জয় হোক অবসাদের।।

তবুও আঁধার শেষে
দেখা দেয় আলো,
অনেক সম্ভাবনার মাঝে
খেলা করে রোদ।",1
"শত আশা By Shunno
শত আশা শত আশা
শত আশা শত আশা

কিছু পাবার আশায়
স্বপ্নগুলো আজ সত্যির পথে
কিছু দেখাবো বলে
স্বপ্নগুলো আজ মুক্তির পথে
আজ সব পথ পেরিয়ে
শত বাধা এড়িয়ে
লক্ষ্য খুঁজতে চাই

শত আশা শত আশা
শত আশা শত আশা

আজ হাতে রেখে হাত
স্বপ্নগুলো আজ একসাথে
ভুলে যাব না বলে
স্বপ্নগুলো আজ সৃষ্টির পথে
আজ সব পথ পেড়িয়ে
শত বাঁধা এড়িয়ে লক্ষ্য খুজতে
চাই

আশাগুলো আজ আলো হয়ে
জ্বলে উঠে
আশাগুলো আজ হেসে তৃপ্তি নেয়
এতে
নেই কোন পিছু টান নেই কোন বাঁধা

শত আশা শত আশা
শত আশা শত আশা
শত আশা শত আশা",0
"আমার যাবার বেলায় By Abid
আমার যাবার বেলায় পিছু ডাকে
আমার যাবার বেলায় পিছু ডাকে।
ভোরের আল মেঘের ফাঁকে ফাঁকে
পিছু ডাকে পিছু ডাকে
আমার যাবার বেলায় পিছু ডাকে।।

বাদল প্রাতের উদাস পাখি ওঠে ডাকি
বনের গোপন শাখে শাখে পিছু ডাকে পিছু ডাকে।
আমার যাবার বেলায় পিছু ডাকে।।

ভরা নদী ছায়ার তলে
ছুটে চলে খোঁজে কাকে পিছু ডাকে।।
আমার প্রাণের ভিতর সে কে
থেকে থেকে বিদায় প্রাতের
উতলাকে পিছু ডাকে পিছু ডাকে
আমার যাবার বেলায় পিছু ডাকে।।",0
"তোমার চোখের আঙ্গিনায় by স্টীলার
তোমারও চোখের আঙ্গিনায়,
এখনও কি তেমনি করে জোছনা ছড়ায় আলো
এখনও কি তারার পানে ,চেয়ে থাক আনমনে
তুমি কি আমায় আগের মত বাসো ভালো?

এখনও কি আকাশে মেঘ দেখে,
জানালা খুলে তেমনি থাক বসে
এখনও কি প্রথম প্রেমের মতো,
পরশ বুলায় বৃষ্টি ধারা এসে।
তোমার দীঘল চুলে এখনও কি ছবি আঁকে মেঘের জত কালো,
তুমি কি আমায় আগের মত বাসো ভাল।

এখনও কি পুরনো চিঠি পড়ে,
নয়ন ভেজাও নিরব অভিমানে
এখনও কি বিকেলের রোদ এসে
গল্প বলে তোমার কানে কানে।
সন্ধ্যা নেমে এলে এখনও কি তেমনি করে সাঁঝের প্রদীপ জ্বালো,
তুমি কি আমায় আগের মত বাসো ভালো।",1
"মনে মনে By Neela
কতবার চেয়েছি তোমায় মনে মনে,
কতবার ডেকেছি চোখেরই অশ্রুজলে।।

চেয়েছি যেতে তোমার হৃদয়ের কাছে,
ভালোবাসা রয়ে গেছে গোধূলীর মেঘে।
হয়তোও বা কোনও ক্ষনে,
তুমি এসে বলবে হেঁসে।।

এসেছি তোমায় ভালোবেসে
এসেছি তোমায় ভালোবেসে।।

তোমার আকাশে সূর্যেরা সারা দিনে,
কতবার আলোতে জড়ায় তোমাকে।।

আমি আসতে চেয়েছি বারে বারে সেখানে,
জড়াতে তোমায় আমার এই নীল আচলে।
হয়তোও বা কোনও ক্ষনে,
তুমি এসে বলবে হেঁসে।।

এসেছি তোমায় ভালোবেসে
এসেছি তোমায় ভালোবেসে।।",1
"সে যে বসে আছে By Arnob Chowdhury
সে যে বসে আছে একা একা
রঙিন স্বপ্ন তার বুনতে
সে যে চেয়ে আছে ভরা চোখে
জানালার ফাঁকে মেঘ ধরতে ।।

তার গুন গুন মনের গান বাতাসে উড়ে
কান পাত মনে পাবে শুনতে
তার রঙের তুলির নাচে মেঘেরা ছুটে
চোখ মেল যদি পার বুঝতে ।।

সে যে বসে আছে একা একা
তার স্বপ্নের কারখানা চলেছে
আর বুড়ো বুড়ো মেঘেদের দল বৃষ্টি নামার তাল গুনছে ।।

সেই গুন গুন মনের গান বৃষ্টি নামায়
টপ টপ টপ ফোটা পড়ে অনেক ক্ষণ
সেই বৃষ্টি ভেজা মনে ডাক দিয়েছে
ভেজা কাক হয়ে থাক আমার মন ।।",1
"অনেক দূর স্বপ্ন আমার By Arnob
অনেক দূর স্বপ্ন আমার,
অনেক দূর আমার চাওয়া
হাতের কাছে তারার মতো,
আমার করে তোমায় পাওয়া।

তোমায় পেলে হয়ত আবার,
নতুন গানের সুরটা পাব
অনেক দূরের আকাশ পথে,
তোমায় নিয়ে হারিয়ে যাব।

হারিয়ে যাওয়ার মানেই হলো,
নিজেকে আবার খুঁজে পাওয়া
নিজের জন্য গান লিখেছি,
নিজের জন্য তোমায় চাওয়া।

চাইবে যেদিন আমায় তুমি,
বুঝবে সেদিন ভাল করে
হাতের কাছের তারাগুলো
দেখায় কেন অত দূরে ।

নতুন একটা গান লিখেছি
বুকের মধ্যে পাগলা সুরে
রাতের আকাশ তোমার মতোই
আমিও যাব অনেক দূরে।",1
